start_hour,off_hours,session_duration,mean_dwell,dwell_var,interevent_entropy,burstiness,n_files,nav_speed,backtrack_rate,dir_entropy,search_to_open,cred_searches,fin_searches,infra_searches,honey_touches,honey_frac,failed_logins,hesitation,label,profile
12,0,708.4065131790895,568.8130462955183,0.0,0.8675632284814612,0.26455370898552855,1,0.084697132061562,0.3333333333333333,1.5607104090414063,1.0,0,0,1,0,0.0,1,0.0,0,easy_normal
11,0,685.934652528899,107.39175670587451,3030.9964226434645,1.4184836619456564,-0.03466407105639234,6,0.5248313358608645,0.0,1.0888999753452235,0.3333333333333333,0,0,2,0,0.0,1,0.0,0,easy_normal
11,0,354.9777052246003,103.06705121341538,5225.956821658851,1.0027182645175161,0.2194719225405578,3,0.5070740988821002,0.3333333333333333,1.310783678099714,0.0,0,0,0,0,0.0,2,0.0,0,easy_normal
14,0,493.8771726285112,82.83093226403784,714.8902250565601,1.2945451658448959,-0.050345273714102245,5,0.6074384819272799,0.09090909090909091,1.4142790651247086,0.4,0,0,2,0,0.0,2,0.0,0,easy_normal
11,0,388.65466967755503,131.65823491825412,2738.6884308357767,0.8018185525433372,0.19479824209111812,2,0.3087573863439162,0.5,1.3592367006650063,0.5,0,0,1,0,0.0,1,0.0,0,easy_normal
9,0,503.8753805341018,68.7710979735855,1196.3741283820834,1.7201934592198251,-0.09936510802002917,6,0.7144623728557732,0.18181818181818182,1.1685184057430877,0.0,0,0,0,0,0.0,1,0.0,0,easy_normal
13,0,1850.8291658375429,148.17907577751598,10172.69268142936,1.5247073930301438,-0.03668926644937876,7,0.22692531960935483,0.15384615384615385,1.1569876443452742,0.14285714285714285,0,0,1,0,0.0,0,0.0,0,easy_normal
23,1,789.6578808774395,11.129452191274819,81.28230464149017,1.5766422738283021,-0.020488472471613492,46,3.4951845183045434,0.0,1.649549203192249,0.32608695652173914,6,9,0,27,0.5869565217391305,7,10.54467794380939,1,A0
10,0,732.4325299629008,111.83089520038207,4250.35874359711,1.4241299173467734,0.05989677104149405,6,0.4915128496794574,0.25,1.1988493129136213,0.3333333333333333,0,0,2,0,0.0,0,0.0,0,easy_normal
14,0,825.0399106342384,125.70940716711054,2184.3338763251163,1.8343719702816235,-0.1180715260977406,6,0.4363425276278512,0.2,0.9502705392332347,0.0,0,0,0,0,0.0,0,0.0,0,easy_normal
14,0,1170.659898565314,154.81265237050314,14472.468268462142,1.3896811919839047,0.04182754750410854,7,0.3587720058701295,0.09090909090909091,1.0335620542068176,0.14285714285714285,0,0,1,0,0.0,0,0.0,0,easy_normal
15,0,1060.2278975301547,170.2201174219809,4335.485234275563,1.5571130980576458,-0.11651721605948455,5,0.2829580326068222,0.1,1.3592367006650063,0.4,0,0,2,0,0.0,1,0.0,0,easy_normal
11,0,736.7638874847139,91.76816397318733,4851.698422503504,1.5465986860485124,-0.05065274122377945,6,0.4886232972533811,0.0,1.1685184057430877,0.3333333333333333,0,0,2,0,0.0,1,0.0,0,easy_normal
4,1,1464.2613993606533,22.89299830045894,126.77064367331731,1.8655129113170645,-0.18180826559982194,48,1.9668619286539322,0.0,1.5720501830251443,0.4375,15,6,0,34,0.7083333333333334,4,23.666609168590405,1,A0
11,0,839.5077552099268,178.40671060598302,15365.350020152087,1.0888999753452235,0.1481269676698597,4,0.28588181408757296,0.3,1.4184836619456567,0.25,0,0,1,0,0.0,1,0.0,0,easy_normal
0,1,603.5098480268161,18.85242324422704,217.57920466493633,1.248256256586466,0.1052991893778218,25,2.48546068453443,0.0,1.7625018271466422,0.76,12,7,0,12,0.48,7,14.962047814078737,1,A0
17,0,262.6660207465907,10.285722801301251,40.8156636640748,1.743209036315682,-0.05026438742310793,15,3.4264043649112987,0.0,1.764500974604149,0.7333333333333333,7,2,2,12,0.8,5,10.786261735704642,1,A0
10,0,1360.6729812261494,209.6228367483071,22119.37620866599,1.6674619334292948,-0.13342702909258952,5,0.22047913358995314,0.0,0.9002560512685369,0.2,0,0,1,0,0.0,0,0.0,0,easy_normal
11,0,1208.662803516431,190.16558003125468,7917.451231363888,1.464816384890813,-0.10944418133437754,6,0.29784982126746323,0.0,0.8486855577264172,0.3333333333333333,0,0,2,0,0.0,0,0.0,0,easy_normal
11,0,908.7766950165708,215.12115846485182,1119.0881042760745,1.277034259466139,-0.0793039753612185,2,0.1320456396582792,0.42857142857142855,1.277034259466139,0.5,0,0,1,0,0.0,0,0.0,0,easy_normal
12,0,1078.5603516472595,211.89693441477516,16337.011527973349,1.3862943611198906,0.02542495039268564,5,0.2781485519487316,0.125,1.073542846408523,0.2,0,0,1,0,0.0,0,0.0,0,easy_normal
8,0,2039.7154519980352,172.6263847107068,7692.93070530689,1.660947433286918,-0.04938254050305879,7,0.20591107430626288,0.0,1.0751393240053735,0.14285714285714285,0,0,1,0,0.0,1,0.0,0,easy_normal
11,0,461.87378430670117,267.24776449131934,0.0,1.0397207708399179,0.005529729258470894,1,0.12990561932425632,0.25,1.3862943611198906,0.0,0,0,0,0,0.0,1,0.0,0,easy_normal
11,0,806.0269985116952,237.33774003403082,340.99577801357214,1.277034259466139,-0.03273463471301304,3,0.22331758158518836,0.0,1.277034259466139,0.6666666666666666,0,0,2,0,0.0,1,0.0,0,easy_normal
12,0,506.9838390245304,379.8851167466435,0.0,0.7356219397587946,0.3118203272658635,1,0.11834696765767498,0.5,1.3862943611198906,1.0,0,0,1,0,0.0,1,0.0,0,easy_normal
22,1,352.635732408195,12.415261206791685,75.27864243735995,1.480267018419363,0.009220006468725112,16,2.7223559945103575,0.0,1.7313924625862467,1.4375,13,10,0,7,0.4375,5,14.30870074357309,1,A0
1,1,471.921054550278,17.967801402297,269.1205476780335,1.0024945700537489,0.08694301696881847,16,2.0342385463493295,0.0,1.7508506884470552,0.875,11,2,1,6,0.375,11,13.084451013100674,1,A0
14,0,1667.9020247139954,222.51405534409517,25075.006678266574,0.9868994488385301,0.17488299795974857,7,0.251813352209354,0.25,1.2820462400528452,0.0,0,0,0,0,0.0,2,0.0,0,easy_normal
17,0,1442.0435778346414,187.86075782385183,11331.218216673591,1.6326309271543518,-0.022722126897312293,7,0.29125333412646787,0.08333333333333333,1.0751393240053733,0.0,0,0,0,0,0.0,1,0.0,0,easy_normal
15,0,904.8793045983426,320.0836127173704,95534.23967530014,0.7963116401738131,0.2556907178174581,2,0.1326143712097223,0.2857142857142857,1.5498260458782016,0.5,0,0,1,0,0.0,1,0.0,0,easy_normal
5,1,467.6436749526563,9.425433937981339,54.96296914441223,1.3953782773918049,-0.018524712891532753,32,4.105690085927878,0.0,1.6893654000391864,0.40625,9,4,0,19,0.59375,7,8.62242616950748,1,A0
12,0,1294.0617733488668,160.79397242273208,2076.288207868681,1.6052071074554588,-0.13546562086427483,6,0.27819382923920694,0.07692307692307693,1.4180693652516903,0.3333333333333333,0,0,2,0,0.0,2,0.0,0,easy_normal
21,1,715.071363746765,14.86816475238585,117.99163866762291,1.2943882268422617,0.009989571363846102,38,3.1884929471283345,0.0,1.6645539273469747,0.21052631578947367,4,3,1,18,0.47368421052631576,11,15.404857023654195,1,A0
10,0,1324.7052882874577,181.48133979702956,8266.190512608056,1.539654447440098,-0.018806795214647957,6,0.2717585588152955,0.25,1.198849312913621,0.16666666666666666,0,0,1,0,0.0,0,0.0,0,easy_normal
23,1,414.9590150394012,16.506974273852094,70.79581357629989,1.5105370312166295,0.009265431148649568,18,2.602666675159357,0.0196078431372549,1.8623147686078545,1.2777777777777777,14,7,2,11,0.6111111111111112,4,17.085501350878154,1,A0
10,0,790.719791599293,88.71825595823533,4231.966963436323,1.3624474851916286,0.03966431739181677,7,0.5311616130797953,0.13333333333333333,1.430280301911093,0.2857142857142857,0,0,2,0,0.0,2,0.0,0,easy_normal
9,0,252.98779198834293,11.910561154844427,57.047962541610744,1.628821058922209,-0.040604330074341916,14,3.320318318121474,0.029411764705882353,1.7782309816924813,0.9285714285714286,8,5,0,9,0.6428571428571429,2,12.216229375787256,1,A0
9,0,369.58882454019124,145.59130665198097,203.8861346301107,1.2554823251787537,0.1166139165163527,2,0.32468514206102705,0.375,1.3208883431493221,0.0,0,0,0,0,0.0,2,0.0,0,easy_normal
15,0,792.6862765914957,103.00744988291571,3274.711621413092,1.4680602034990462,0.044057631346956595,7,0.529843914803187,0.21428571428571427,1.1952684170869834,0.14285714285714285,0,0,1,0,0.0,0,0.0,0,easy_normal
10,0,931.2789139043463,155.6630242362451,9600.318723114147,1.6094379124341,0.028078601829794724,5,0.32213764911981424,0.2,1.2206072645530175,0.0,0,0,0,0,0.0,1,0.0,0,easy_normal
9,0,1113.0764465108311,131.97494576721735,3948.552625808518,1.7351264569629226,-0.3319060243611215,6,0.3234279200934443,0.0,0.8486855577264172,0.3333333333333333,0,0,2,0,0.0,0,0.0,0,easy_normal
14,0,1375.734190637479,196.22715432351745,17924.944141531465,1.3038755293363848,0.08241241878763421,6,0.26167845681961677,0.15384615384615385,1.3778195080390327,0.16666666666666666,0,0,1,0,0.0,1,0.0,0,easy_normal
3,1,576.4381698005088,10.628728434852386,66.83094578026304,1.270574161192601,-0.048040517462712116,36,3.7471495004356203,0.013157894736842105,1.78909585155699,0.3611111111111111,6,6,1,20,0.5555555555555556,10,11.915591398742025,1,A0
13,0,816.028597074424,261.416782768461,20373.197306998085,1.0549201679861442,0.000939723188198817,3,0.22058050495451387,0.0,0.9502705392332347,0.0,0,0,0,0,0.0,1,0.0,0,easy_normal
17,0,279.8246290643502,172.63237760304446,0.0,1.0549201679861442,0.05132313252120982,1,0.21442001084973128,0.2,1.6094379124341005,1.0,0,0,1,0,0.0,1,0.0,0,easy_normal
12,0,628.9531280767147,121.18786347963024,6558.706653982808,1.3030924037617193,0.0876107630225257,5,0.47698307967300285,0.3333333333333333,0.9368883075390159,0.0,0,0,0,0,0.0,0,0.0,0,easy_normal
